iso3,indicator_id,value,year,source_id
NLD,ef_epi_score,624,2025,EF-EPI-2025
HRV,ef_epi_score,617,2025,EF-EPI-2025
AUT,ef_epi_score,616,2025,EF-EPI-2025
DEU,ef_epi_score,615,2025,EF-EPI-2025
NOR,ef_epi_score,613,2025,EF-EPI-2025
PRT,ef_epi_score,612,2025,EF-EPI-2025
DNK,ef_epi_score,611,2025,EF-EPI-2025
SWE,ef_epi_score,609,2025,EF-EPI-2025
BEL,ef_epi_score,608,2025,EF-EPI-2025
SVK,ef_epi_score,606,2025,EF-EPI-2025
ROU,ef_epi_score,605,2025,EF-EPI-2025
FIN,ef_epi_score,603,2025,EF-EPI-2025
ZAF,ef_epi_score,602,2025,EF-EPI-2025
ZWE,ef_epi_score,602,2025,EF-EPI-2025
POL,ef_epi_score,600,2025,EF-EPI-2025
LVA,ef_epi_score,599,2025,EF-EPI-2025
MKD,ef_epi_score,595,2025,EF-EPI-2025
BGR,ef_epi_score,594,2025,EF-EPI-2025
KEN,ef_epi_score,593,2025,EF-EPI-2025
GRC,ef_epi_score,592,2025,EF-EPI-2025
BIH,ef_epi_score,591,2025,EF-EPI-2025
HUN,ef_epi_score,590,2025,EF-EPI-2025
CZE,ef_epi_score,582,2025,EF-EPI-2025
MYS,ef_epi_score,581,2025,EF-EPI-2025
SRB,ef_epi_score,579,2025,EF-EPI-2025
ARG,ef_epi_score,575,2025,EF-EPI-2025
ZMB,ef_epi_score,573,2025,EF-EPI-2025
PHL,ef_epi_score,569,2025,EF-EPI-2025
NGA,ef_epi_score,569,2025,EF-EPI-2025
CHE,ef_epi_score,564,2025,EF-EPI-2025
EST,ef_epi_score,561,2025,EF-EPI-2025
HND,ef_epi_score,553,2025,EF-EPI-2025
LTU,ef_epi_score,543,2025,EF-EPI-2025
URY,ef_epi_score,542,2025,EF-EPI-2025
GEO,ef_epi_score,541,2025,EF-EPI-2025
GHA,ef_epi_score,540,2025,EF-EPI-2025
ESP,ef_epi_score,540,2025,EF-EPI-2025
FRA,ef_epi_score,539,2025,EF-EPI-2025
HKG,ef_epi_score,538,2025,EF-EPI-2025
CYP,ef_epi_score,537,2025,EF-EPI-2025
BLR,ef_epi_score,533,2025,EF-EPI-2025
ALB,ef_epi_score,532,2025,EF-EPI-2025
MDA,ef_epi_score,531,2025,EF-EPI-2025
PRY,ef_epi_score,531,2025,EF-EPI-2025
UKR,ef_epi_score,526,2025,EF-EPI-2025
ISR,ef_epi_score,524,2025,EF-EPI-2025
SLV,ef_epi_score,523,2025,EF-EPI-2025
KOR,ef_epi_score,522,2025,EF-EPI-2025
BOL,ef_epi_score,521,2025,EF-EPI-2025
RUS,ef_epi_score,521,2025,EF-EPI-2025
VEN,ef_epi_score,520,2025,EF-EPI-2025
PER,ef_epi_score,519,2025,EF-EPI-2025
UGA,ef_epi_score,518,2025,EF-EPI-2025
CHL,ef_epi_score,517,2025,EF-EPI-2025
CRI,ef_epi_score,516,2025,EF-EPI-2025
ARM,ef_epi_score,515,2025,EF-EPI-2025
CUB,ef_epi_score,515,2025,EF-EPI-2025
NPL,ef_epi_score,514,2025,EF-EPI-2025
ITA,ef_epi_score,513,2025,EF-EPI-2025
NIC,ef_epi_score,512,2025,EF-EPI-2025
GTM,ef_epi_score,510,2025,EF-EPI-2025
BGD,ef_epi_score,506,2025,EF-EPI-2025
DOM,ef_epi_score,503,2025,EF-EPI-2025
VNM,ef_epi_score,500,2025,EF-EPI-2025
ETH,ef_epi_score,499,2025,EF-EPI-2025
TUN,ef_epi_score,498,2025,EF-EPI-2025
PAK,ef_epi_score,493,2025,EF-EPI-2025
IRN,ef_epi_score,492,2025,EF-EPI-2025
MAR,ef_epi_score,492,2025,EF-EPI-2025
PAN,ef_epi_score,491,2025,EF-EPI-2025
TUR,ef_epi_score,488,2025,EF-EPI-2025
ARE,ef_epi_score,487,2025,EF-EPI-2025
LKA,ef_epi_score,486,2025,EF-EPI-2025
IND,ef_epi_score,484,2025,EF-EPI-2025
BRA,ef_epi_score,482,2025,EF-EPI-2025
COL,ef_epi_score,480,2025,EF-EPI-2025
TZA,ef_epi_score,479,2025,EF-EPI-2025
LBN,ef_epi_score,477,2025,EF-EPI-2025
BTN,ef_epi_score,473,2025,EF-EPI-2025
IDN,ef_epi_score,471,2025,EF-EPI-2025
QAT,ef_epi_score,469,2025,EF-EPI-2025
DZA,ef_epi_score,468,2025,EF-EPI-2025
ECU,ef_epi_score,466,2025,EF-EPI-2025
MWI,ef_epi_score,465,2025,EF-EPI-2025
MOZ,ef_epi_score,465,2025,EF-EPI-2025
CHN,ef_epi_score,464,2025,EF-EPI-2025
PSE,ef_epi_score,463,2025,EF-EPI-2025
LAO,ef_epi_score,461,2025,EF-EPI-2025
EGY,ef_epi_score,459,2025,EF-EPI-2025
