iso3,indicator_id,value,year,source_id
DZA,gii_overall,19,2025,GII-2025
ALB,gii_overall,30,2025,GII-2025
ARE,gii_overall,44,2025,GII-2025
AGO,gii_overall,13,2025,GII-2025
ARM,gii_overall,30,2025,GII-2025
AUS,gii_overall,48,2025,GII-2025
AUT,gii_overall,50,2025,GII-2025
ARG,gii_overall,27,2025,GII-2025
AZE,gii_overall,23,2025,GII-2025
BDI,gii_overall,16,2025,GII-2025
BEL,gii_overall,48,2025,GII-2025
BEN,gii_overall,18,2025,GII-2025
BFA,gii_overall,16,2025,GII-2025
BGD,gii_overall,21,2025,GII-2025
BGR,gii_overall,39,2025,GII-2025
BHR,gii_overall,30,2025,GII-2025
BIH,gii_overall,23,2025,GII-2025
BLR,gii_overall,25,2025,GII-2025
BOL,gii_overall,20,2025,GII-2025
BRA,gii_overall,33,2025,GII-2025
BRB,gii_overall,25,2025,GII-2025
BRN,gii_overall,24,2025,GII-2025
BWA,gii_overall,25,2025,GII-2025
CAN,gii_overall,51,2025,GII-2025
CHE,gii_overall,66,2025,GII-2025
CHL,gii_overall,33,2025,GII-2025
CHN,gii_overall,57,2025,GII-2025
CIV,gii_overall,20,2025,GII-2025
CMR,gii_overall,18,2025,GII-2025
COG,gii_overall,14,2025,GII-2025
COL,gii_overall,28,2025,GII-2025
CRI,gii_overall,28,2025,GII-2025
CPV,gii_overall,23,2025,GII-2025
CYP,gii_overall,45,2025,GII-2025
CZE,gii_overall,42,2025,GII-2025
DEU,gii_overall,55,2025,GII-2025
DNK,gii_overall,57,2025,GII-2025
DOM,gii_overall,23,2025,GII-2025
ECU,gii_overall,20,2025,GII-2025
EGY,gii_overall,25,2025,GII-2025
ESP,gii_overall,45,2025,GII-2025
EST,gii_overall,51,2025,GII-2025
ETH,gii_overall,14,2025,GII-2025
FIN,gii_overall,58,2025,GII-2025
FRA,gii_overall,53,2025,GII-2025
GBR,gii_overall,59,2025,GII-2025
GEO,gii_overall,31,2025,GII-2025
GHA,gii_overall,22,2025,GII-2025
GIN,gii_overall,15,2025,GII-2025
GRC,gii_overall,37,2025,GII-2025
GTM,gii_overall,17,2025,GII-2025
HKG,gii_overall,51,2025,GII-2025
HND,gii_overall,18,2025,GII-2025
HRV,gii_overall,38,2025,GII-2025
HUN,gii_overall,40,2025,GII-2025
IDN,gii_overall,31,2025,GII-2025
IND,gii_overall,38,2025,GII-2025
IRL,gii_overall,50,2025,GII-2025
IRN,gii_overall,29,2025,GII-2025
ISL,gii_overall,47,2025,GII-2025
ISR,gii_overall,52,2025,GII-2025
ITA,gii_overall,45,2025,GII-2025
JAM,gii_overall,25,2025,GII-2025
JOR,gii_overall,30,2025,GII-2025
JPN,gii_overall,54,2025,GII-2025
KAZ,gii_overall,26,2025,GII-2025
KEN,gii_overall,21,2025,GII-2025
KGZ,gii_overall,23,2025,GII-2025
KHM,gii_overall,22,2025,GII-2025
KOR,gii_overall,60,2025,GII-2025
KWT,gii_overall,28,2025,GII-2025
LAO,gii_overall,20,2025,GII-2025
LBN,gii_overall,24,2025,GII-2025
LKA,gii_overall,23,2025,GII-2025
LSO,gii_overall,15,2025,GII-2025
LTU,gii_overall,41,2025,GII-2025
LUX,gii_overall,47,2025,GII-2025
LVA,gii_overall,38,2025,GII-2025
MAR,gii_overall,31,2025,GII-2025
MDA,gii_overall,27,2025,GII-2025
MDG,gii_overall,18,2025,GII-2025
MEX,gii_overall,31,2025,GII-2025
MKD,gii_overall,30,2025,GII-2025
MLI,gii_overall,14,2025,GII-2025
MLT,gii_overall,45,2025,GII-2025
MNE,gii_overall,30,2025,GII-2025
MNG,gii_overall,27,2025,GII-2025
MOZ,gii_overall,15,2025,GII-2025
MRT,gii_overall,15,2025,GII-2025
MUS,gii_overall,33,2025,GII-2025
MWI,gii_overall,16,2025,GII-2025
MYS,gii_overall,41,2025,GII-2025
NAM,gii_overall,23,2025,GII-2025
NER,gii_overall,12,2025,GII-2025
NGA,gii_overall,21,2025,GII-2025
NIC,gii_overall,15,2025,GII-2025
NLD,gii_overall,57,2025,GII-2025
NOR,gii_overall,49,2025,GII-2025
NPL,gii_overall,20,2025,GII-2025
NZL,gii_overall,45,2025,GII-2025
OMN,gii_overall,29,2025,GII-2025
PAK,gii_overall,22,2025,GII-2025
PAN,gii_overall,26,2025,GII-2025
PER,gii_overall,26,2025,GII-2025
PHL,gii_overall,34,2025,GII-2025
POL,gii_overall,38,2025,GII-2025
PRT,gii_overall,44,2025,GII-2025
PRY,gii_overall,21,2025,GII-2025
QAT,gii_overall,35,2025,GII-2025
ROU,gii_overall,34,2025,GII-2025
RUS,gii_overall,30,2025,GII-2025
RWA,gii_overall,21,2025,GII-2025
SAU,gii_overall,36,2025,GII-2025
SEN,gii_overall,24,2025,GII-2025
SGP,gii_overall,60,2025,GII-2025
SLV,gii_overall,22,2025,GII-2025
SRB,gii_overall,32,2025,GII-2025
SVK,gii_overall,36,2025,GII-2025
SVN,gii_overall,40,2025,GII-2025
SWE,gii_overall,63,2025,GII-2025
SYC,gii_overall,27,2025,GII-2025
TGO,gii_overall,18,2025,GII-2025
THA,gii_overall,37,2025,GII-2025
TJK,gii_overall,20,2025,GII-2025
TTO,gii_overall,19,2025,GII-2025
TUN,gii_overall,27,2025,GII-2025
TUR,gii_overall,37,2025,GII-2025
TZA,gii_overall,17,2025,GII-2025
UGA,gii_overall,17,2025,GII-2025
UKR,gii_overall,30,2025,GII-2025
URY,gii_overall,29,2025,GII-2025
USA,gii_overall,62,2025,GII-2025
UZB,gii_overall,26,2025,GII-2025
VEN,gii_overall,14,2025,GII-2025
VNM,gii_overall,37,2025,GII-2025
ZAF,gii_overall,30,2025,GII-2025
ZMB,gii_overall,20,2025,GII-2025
ZWE,gii_overall,15,2025,GII-2025
MMR,gii_overall,17,2025,GII-2025
