iso3,indicator_id,value,year,source_id
ISL,gpi_score,1.095,2025,GPI-2025
IRL,gpi_score,1.26,2025,GPI-2025
NZL,gpi_score,1.282,2025,GPI-2025
AUT,gpi_score,1.294,2025,GPI-2025
CHE,gpi_score,1.294,2025,GPI-2025
SGP,gpi_score,1.357,2025,GPI-2025
PRT,gpi_score,1.371,2025,GPI-2025
DNK,gpi_score,1.393,2025,GPI-2025
SVN,gpi_score,1.409,2025,GPI-2025
FIN,gpi_score,1.42,2025,GPI-2025
CZE,gpi_score,1.435,2025,GPI-2025
JPN,gpi_score,1.44,2025,GPI-2025
MYS,gpi_score,1.469,2025,GPI-2025
NLD,gpi_score,1.491,2025,GPI-2025
CAN,gpi_score,1.491,2025,GPI-2025
BEL,gpi_score,1.492,2025,GPI-2025
HUN,gpi_score,1.5,2025,GPI-2025
AUS,gpi_score,1.505,2025,GPI-2025
HRV,gpi_score,1.519,2025,GPI-2025
DEU,gpi_score,1.53,2025,GPI-2025
BTN,gpi_score,1.536,2025,GPI-2025
LVA,gpi_score,1.558,2025,GPI-2025
LTU,gpi_score,1.558,2025,GPI-2025
EST,gpi_score,1.559,2025,GPI-2025
ESP,gpi_score,1.578,2025,GPI-2025
MUS,gpi_score,1.586,2025,GPI-2025
QAT,gpi_score,1.593,2025,GPI-2025
SVK,gpi_score,1.609,2025,GPI-2025
BGR,gpi_score,1.61,2025,GPI-2025
GBR,gpi_score,1.634,2025,GPI-2025
KWT,gpi_score,1.642,2025,GPI-2025
NOR,gpi_score,1.644,2025,GPI-2025
ITA,gpi_score,1.662,2025,GPI-2025
MNE,gpi_score,1.685,2025,GPI-2025
SWE,gpi_score,1.709,2025,GPI-2025
POL,gpi_score,1.713,2025,GPI-2025
MNG,gpi_score,1.719,2025,GPI-2025
ROU,gpi_score,1.721,2025,GPI-2025
VNM,gpi_score,1.721,2025,GPI-2025
TWN,gpi_score,1.73,2025,GPI-2025
KOR,gpi_score,1.736,2025,GPI-2025
OMN,gpi_score,1.738,2025,GPI-2025
BWA,gpi_score,1.743,2025,GPI-2025
TLS,gpi_score,1.758,2025,GPI-2025
GRC,gpi_score,1.764,2025,GPI-2025
ARG,gpi_score,1.768,2025,GPI-2025
LAO,gpi_score,1.783,2025,GPI-2025
URY,gpi_score,1.784,2025,GPI-2025
IDN,gpi_score,1.786,2025,GPI-2025
NAM,gpi_score,1.789,2025,GPI-2025
MKD,gpi_score,1.799,2025,GPI-2025
ALB,gpi_score,1.812,2025,GPI-2025
ARE,gpi_score,1.812,2025,GPI-2025
CRI,gpi_score,1.843,2025,GPI-2025
GMB,gpi_score,1.855,2025,GPI-2025
KAZ,gpi_score,1.875,2025,GPI-2025
SLE,gpi_score,1.887,2025,GPI-2025
ARM,gpi_score,1.893,2025,GPI-2025
MDG,gpi_score,1.895,2025,GPI-2025
BIH,gpi_score,1.895,2025,GPI-2025
GHA,gpi_score,1.898,2025,GPI-2025
CHL,gpi_score,1.899,2025,GPI-2025
XKX,gpi_score,1.908,2025,GPI-2025
SRB,gpi_score,1.914,2025,GPI-2025
ZMB,gpi_score,1.914,2025,GPI-2025
MDA,gpi_score,1.918,2025,GPI-2025
UZB,gpi_score,1.926,2025,GPI-2025
CYP,gpi_score,1.933,2025,GPI-2025
SEN,gpi_score,1.936,2025,GPI-2025
LBR,gpi_score,1.939,2025,GPI-2025
MWI,gpi_score,1.955,2025,GPI-2025
JOR,gpi_score,1.957,2025,GPI-2025
TZA,gpi_score,1.965,2025,GPI-2025
FRA,gpi_score,1.967,2025,GPI-2025
PRY,gpi_score,1.981,2025,GPI-2025
NPL,gpi_score,1.987,2025,GPI-2025
AGO,gpi_score,1.987,2025,GPI-2025
KGZ,gpi_score,1.988,2025,GPI-2025
TJK,gpi_score,1.996,2025,GPI-2025
DOM,gpi_score,1.996,2025,GPI-2025
TUN,gpi_score,1.998,2025,GPI-2025
GNQ,gpi_score,2.004,2025,GPI-2025
BOL,gpi_score,2.005,2025,GPI-2025
PAN,gpi_score,2.006,2025,GPI-2025
MAR,gpi_score,2.012,2025,GPI-2025
THA,gpi_score,2.017,2025,GPI-2025
KHM,gpi_score,2.019,2025,GPI-2025
TKM,gpi_score,2.019,2025,GPI-2025
TTO,gpi_score,2.02,2025,GPI-2025
SAU,gpi_score,2.035,2025,GPI-2025
RWA,gpi_score,2.036,2025,GPI-2025
DZA,gpi_score,2.042,2025,GPI-2025
JAM,gpi_score,2.047,2025,GPI-2025
CIV,gpi_score,2.066,2025,GPI-2025
AZE,gpi_score,2.067,2025,GPI-2025
PER,gpi_score,2.073,2025,GPI-2025
LKA,gpi_score,2.075,2025,GPI-2025
CHN,gpi_score,2.093,2025,GPI-2025
SWZ,gpi_score,2.094,2025,GPI-2025
BHR,gpi_score,2.099,2025,GPI-2025
GNB,gpi_score,2.112,2025,GPI-2025
CUB,gpi_score,2.123,2025,GPI-2025
COG,gpi_score,2.132,2025,GPI-2025
SLV,gpi_score,2.136,2025,GPI-2025
PHL,gpi_score,2.148,2025,GPI-2025
GUY,gpi_score,2.149,2025,GPI-2025
EGY,gpi_score,2.157,2025,GPI-2025
GTM,gpi_score,2.174,2025,GPI-2025
GEO,gpi_score,2.185,2025,GPI-2025
MRT,gpi_score,2.204,2025,GPI-2025
NIC,gpi_score,2.207,2025,GPI-2025
BEN,gpi_score,2.211,2025,GPI-2025
UGA,gpi_score,2.217,2025,GPI-2025
ZWE,gpi_score,2.223,2025,GPI-2025
IND,gpi_score,2.229,2025,GPI-2025
PNG,gpi_score,2.23,2025,GPI-2025
GAB,gpi_score,2.238,2025,GPI-2025
GIN,gpi_score,2.253,2025,GPI-2025
LSO,gpi_score,2.267,2025,GPI-2025
BLR,gpi_score,2.267,2025,GPI-2025
MOZ,gpi_score,2.273,2025,GPI-2025
DJI,gpi_score,2.276,2025,GPI-2025
BGD,gpi_score,2.318,2025,GPI-2025
ZAF,gpi_score,2.347,2025,GPI-2025
HND,gpi_score,2.347,2025,GPI-2025
TGO,gpi_score,2.381,2025,GPI-2025
KEN,gpi_score,2.392,2025,GPI-2025
USA,gpi_score,2.443,2025,GPI-2025
ECU,gpi_score,2.459,2025,GPI-2025
BRA,gpi_score,2.472,2025,GPI-2025
LBY,gpi_score,2.478,2025,GPI-2025
ERI,gpi_score,2.542,2025,GPI-2025
BDI,gpi_score,2.574,2025,GPI-2025
TCD,gpi_score,2.593,2025,GPI-2025
MEX,gpi_score,2.636,2025,GPI-2025
LBN,gpi_score,2.674,2025,GPI-2025
CMR,gpi_score,2.683,2025,GPI-2025
ETH,gpi_score,2.688,2025,GPI-2025
VEN,gpi_score,2.692,2025,GPI-2025
COL,gpi_score,2.695,2025,GPI-2025
HTI,gpi_score,2.731,2025,GPI-2025
IRN,gpi_score,2.75,2025,GPI-2025
NER,gpi_score,2.759,2025,GPI-2025
PAK,gpi_score,2.797,2025,GPI-2025
PSE,gpi_score,2.811,2025,GPI-2025
TUR,gpi_score,2.852,2025,GPI-2025
IRQ,gpi_score,2.862,2025,GPI-2025
NGA,gpi_score,2.869,2025,GPI-2025
PRK,gpi_score,2.911,2025,GPI-2025
CAF,gpi_score,2.912,2025,GPI-2025
SOM,gpi_score,2.983,2025,GPI-2025
BFA,gpi_score,3.016,2025,GPI-2025
MMR,gpi_score,3.045,2025,GPI-2025
MLI,gpi_score,3.061,2025,GPI-2025
ISR,gpi_score,3.108,2025,GPI-2025
SSD,gpi_score,3.117,2025,GPI-2025
SYR,gpi_score,3.184,2025,GPI-2025
AFG,gpi_score,3.229,2025,GPI-2025
YEM,gpi_score,3.262,2025,GPI-2025
COD,gpi_score,3.292,2025,GPI-2025
SDN,gpi_score,3.323,2025,GPI-2025
UKR,gpi_score,3.434,2025,GPI-2025
RUS,gpi_score,3.441,2025,GPI-2025
