iso3,indicator_id,value,year,source_id
AFG,hdi_overall,0.496,2023,HDI-2025
ALB,hdi_overall,0.81,2023,HDI-2025
DZA,hdi_overall,0.763,2023,HDI-2025
AND,hdi_overall,0.913,2023,HDI-2025
AGO,hdi_overall,0.616,2023,HDI-2025
ATG,hdi_overall,0.851,2023,HDI-2025
ARG,hdi_overall,0.865,2023,HDI-2025
ARM,hdi_overall,0.811,2023,HDI-2025
AUS,hdi_overall,0.958,2023,HDI-2025
AUT,hdi_overall,0.93,2023,HDI-2025
AZE,hdi_overall,0.789,2023,HDI-2025
BHS,hdi_overall,0.82,2023,HDI-2025
BHR,hdi_overall,0.899,2023,HDI-2025
BGD,hdi_overall,0.685,2023,HDI-2025
BRB,hdi_overall,0.811,2023,HDI-2025
BLR,hdi_overall,0.824,2023,HDI-2025
BEL,hdi_overall,0.951,2023,HDI-2025
BLZ,hdi_overall,0.721,2023,HDI-2025
BEN,hdi_overall,0.515,2023,HDI-2025
BTN,hdi_overall,0.698,2023,HDI-2025
BOL,hdi_overall,0.733,2023,HDI-2025
BIH,hdi_overall,0.804,2023,HDI-2025
BWA,hdi_overall,0.731,2023,HDI-2025
BRA,hdi_overall,0.786,2023,HDI-2025
BRN,hdi_overall,0.837,2023,HDI-2025
BGR,hdi_overall,0.845,2023,HDI-2025
BFA,hdi_overall,0.459,2023,HDI-2025
BDI,hdi_overall,0.439,2023,HDI-2025
CPV,hdi_overall,0.668,2023,HDI-2025
KHM,hdi_overall,0.606,2023,HDI-2025
CMR,hdi_overall,0.588,2023,HDI-2025
CAN,hdi_overall,0.939,2023,HDI-2025
CAF,hdi_overall,0.414,2023,HDI-2025
TCD,hdi_overall,0.416,2023,HDI-2025
CHL,hdi_overall,0.878,2023,HDI-2025
CHN,hdi_overall,0.797,2023,HDI-2025
COL,hdi_overall,0.788,2023,HDI-2025
COM,hdi_overall,0.603,2023,HDI-2025
COG,hdi_overall,0.649,2023,HDI-2025
COD,hdi_overall,0.522,2023,HDI-2025
CRI,hdi_overall,0.833,2023,HDI-2025
HRV,hdi_overall,0.889,2023,HDI-2025
CUB,hdi_overall,0.762,2023,HDI-2025
CYP,hdi_overall,0.913,2023,HDI-2025
CZE,hdi_overall,0.915,2023,HDI-2025
CIV,hdi_overall,0.582,2023,HDI-2025
DNK,hdi_overall,0.962,2023,HDI-2025
DJI,hdi_overall,0.513,2023,HDI-2025
DMA,hdi_overall,0.761,2023,HDI-2025
DOM,hdi_overall,0.776,2023,HDI-2025
ECU,hdi_overall,0.777,2023,HDI-2025
EGY,hdi_overall,0.754,2023,HDI-2025
SLV,hdi_overall,0.678,2023,HDI-2025
GNQ,hdi_overall,0.674,2023,HDI-2025
ERI,hdi_overall,0.503,2023,HDI-2025
EST,hdi_overall,0.905,2023,HDI-2025
SWZ,hdi_overall,0.695,2023,HDI-2025
ETH,hdi_overall,0.497,2023,HDI-2025
FJI,hdi_overall,0.731,2023,HDI-2025
FIN,hdi_overall,0.948,2023,HDI-2025
FRA,hdi_overall,0.92,2023,HDI-2025
GAB,hdi_overall,0.733,2023,HDI-2025
GMB,hdi_overall,0.524,2023,HDI-2025
GEO,hdi_overall,0.844,2023,HDI-2025
DEU,hdi_overall,0.959,2023,HDI-2025
GHA,hdi_overall,0.628,2023,HDI-2025
GRC,hdi_overall,0.908,2023,HDI-2025
GRD,hdi_overall,0.791,2023,HDI-2025
GTM,hdi_overall,0.662,2023,HDI-2025
GIN,hdi_overall,0.5,2023,HDI-2025
GNB,hdi_overall,0.514,2023,HDI-2025
GUY,hdi_overall,0.776,2023,HDI-2025
HTI,hdi_overall,0.554,2023,HDI-2025
HND,hdi_overall,0.645,2023,HDI-2025
HKG,hdi_overall,0.955,2023,HDI-2025
HUN,hdi_overall,0.87,2023,HDI-2025
ISL,hdi_overall,0.972,2023,HDI-2025
IND,hdi_overall,0.685,2023,HDI-2025
