iso3,indicator_id,value,year,source_id
SGP,henley_visa_free,192,2026,HENLEY-2026
JPN,henley_visa_free,187,2026,HENLEY-2026
KOR,henley_visa_free,187,2026,HENLEY-2026
ARE,henley_visa_free,187,2026,HENLEY-2026
SWE,henley_visa_free,186,2026,HENLEY-2026
BEL,henley_visa_free,185,2026,HENLEY-2026
DNK,henley_visa_free,185,2026,HENLEY-2026
FIN,henley_visa_free,185,2026,HENLEY-2026
FRA,henley_visa_free,185,2026,HENLEY-2026
DEU,henley_visa_free,185,2026,HENLEY-2026
IRL,henley_visa_free,185,2026,HENLEY-2026
ITA,henley_visa_free,185,2026,HENLEY-2026
LUX,henley_visa_free,185,2026,HENLEY-2026
NLD,henley_visa_free,185,2026,HENLEY-2026
NOR,henley_visa_free,185,2026,HENLEY-2026
ESP,henley_visa_free,185,2026,HENLEY-2026
CHE,henley_visa_free,185,2026,HENLEY-2026
AUT,henley_visa_free,184,2026,HENLEY-2026
GRC,henley_visa_free,184,2026,HENLEY-2026
MLT,henley_visa_free,184,2026,HENLEY-2026
PRT,henley_visa_free,184,2026,HENLEY-2026
HUN,henley_visa_free,183,2026,HENLEY-2026
MYS,henley_visa_free,183,2026,HENLEY-2026
POL,henley_visa_free,183,2026,HENLEY-2026
GBR,henley_visa_free,183,2026,HENLEY-2026
AUS,henley_visa_free,182,2026,HENLEY-2026
CAN,henley_visa_free,182,2026,HENLEY-2026
CZE,henley_visa_free,182,2026,HENLEY-2026
LVA,henley_visa_free,182,2026,HENLEY-2026
NZL,henley_visa_free,182,2026,HENLEY-2026
SVK,henley_visa_free,182,2026,HENLEY-2026
SVN,henley_visa_free,182,2026,HENLEY-2026
HRV,henley_visa_free,181,2026,HENLEY-2026
EST,henley_visa_free,181,2026,HENLEY-2026
LIE,henley_visa_free,180,2026,HENLEY-2026
LTU,henley_visa_free,180,2026,HENLEY-2026
ISL,henley_visa_free,179,2026,HENLEY-2026
USA,henley_visa_free,179,2026,HENLEY-2026
BGR,henley_visa_free,177,2026,HENLEY-2026
ROU,henley_visa_free,177,2026,HENLEY-2026
MCO,henley_visa_free,176,2026,HENLEY-2026
CHL,henley_visa_free,174,2026,HENLEY-2026
CYP,henley_visa_free,174,2026,HENLEY-2026
HKG,henley_visa_free,174,2026,HENLEY-2026
AND,henley_visa_free,169,2026,HENLEY-2026
ARG,henley_visa_free,168,2026,HENLEY-2026
BRA,henley_visa_free,168,2026,HENLEY-2026
ISR,henley_visa_free,166,2026,HENLEY-2026
SMR,henley_visa_free,166,2026,HENLEY-2026
BRB,henley_visa_free,163,2026,HENLEY-2026
BRN,henley_visa_free,163,2026,HENLEY-2026
BHS,henley_visa_free,158,2026,HENLEY-2026
KNA,henley_visa_free,157,2026,HENLEY-2026
VCT,henley_visa_free,157,2026,HENLEY-2026
MEX,henley_visa_free,156,2026,HENLEY-2026
URY,henley_visa_free,155,2026,HENLEY-2026
ATG,henley_visa_free,154,2026,HENLEY-2026
SYC,henley_visa_free,154,2026,HENLEY-2026
CRI,henley_visa_free,148,2026,HENLEY-2026
GRD,henley_visa_free,147,2026,HENLEY-2026
MUS,henley_visa_free,147,2026,HENLEY-2026
PAN,henley_visa_free,147,2026,HENLEY-2026
DMA,henley_visa_free,145,2026,HENLEY-2026
PRY,henley_visa_free,145,2026,HENLEY-2026
TTO,henley_visa_free,145,2026,HENLEY-2026
LCA,henley_visa_free,144,2026,HENLEY-2026
UKR,henley_visa_free,142,2026,HENLEY-2026
MAC,henley_visa_free,141,2026,HENLEY-2026
PER,henley_visa_free,141,2026,HENLEY-2026
SRB,henley_visa_free,135,2026,HENLEY-2026
TWN,henley_visa_free,134,2026,HENLEY-2026
GTM,henley_visa_free,132,2026,HENLEY-2026
SLB,henley_visa_free,132,2026,HENLEY-2026
SLV,henley_visa_free,131,2026,HENLEY-2026
COL,henley_visa_free,130,2026,HENLEY-2026
HND,henley_visa_free,129,2026,HENLEY-2026
WSM,henley_visa_free,129,2026,HENLEY-2026
MHL,henley_visa_free,127,2026,HENLEY-2026
TON,henley_visa_free,127,2026,HENLEY-2026
MNE,henley_visa_free,126,2026,HENLEY-2026
MKD,henley_visa_free,126,2026,HENLEY-2026
NIC,henley_visa_free,125,2026,HENLEY-2026
TUV,henley_visa_free,125,2026,HENLEY-2026
KIR,henley_visa_free,122,2026,HENLEY-2026
ALB,henley_visa_free,121,2026,HENLEY-2026
