iso3,indicator_id,value,year,source_id
SGP,ief_overall,84.4,2026,IEF-2026
CHE,ief_overall,83.7,2026,IEF-2026
IRL,ief_overall,83.3,2026,IEF-2026
AUS,ief_overall,80.1,2026,IEF-2026
TWN,ief_overall,79.8,2026,IEF-2026
LUX,ief_overall,79.7,2026,IEF-2026
DNK,ief_overall,79.0,2026,IEF-2026
NOR,ief_overall,78.8,2026,IEF-2026
EST,ief_overall,78.7,2026,IEF-2026
NLD,ief_overall,78.5,2026,IEF-2026
SWE,ief_overall,77.8,2026,IEF-2026
NZL,ief_overall,77.8,2026,IEF-2026
FIN,ief_overall,76.6,2026,IEF-2026
CAN,ief_overall,75.6,2026,IEF-2026
LTU,ief_overall,75.3,2026,IEF-2026
ISL,ief_overall,75.0,2026,IEF-2026
CHL,ief_overall,74.3,2026,IEF-2026
CYP,ief_overall,74.1,2026,IEF-2026
KOR,ief_overall,73.7,2026,IEF-2026
CZE,ief_overall,73.2,2026,IEF-2026
MUS,ief_overall,73.0,2026,IEF-2026
USA,ief_overall,72.8,2026,IEF-2026
ARE,ief_overall,71.9,2026,IEF-2026
DEU,ief_overall,71.7,2026,IEF-2026
LVA,ief_overall,71.6,2026,IEF-2026
CPV,ief_overall,71.4,2026,IEF-2026
PRT,ief_overall,71.2,2026,IEF-2026
BRB,ief_overall,70.4,2026,IEF-2026
GBR,ief_overall,70.4,2026,IEF-2026
JPN,ief_overall,70.3,2026,IEF-2026
QAT,ief_overall,70.2,2026,IEF-2026
URY,ief_overall,69.8,2026,IEF-2026
AUT,ief_overall,69.8,2026,IEF-2026
SVN,ief_overall,69.7,2026,IEF-2026
GEO,ief_overall,69.6,2026,IEF-2026
BEL,ief_overall,69.2,2026,IEF-2026
CRI,ief_overall,69.1,2026,IEF-2026
BGR,ief_overall,68.9,2026,IEF-2026
OMN,ief_overall,68.5,2026,IEF-2026
POL,ief_overall,68.5,2026,IEF-2026
ISR,ief_overall,68.4,2026,IEF-2026
JAM,ief_overall,68.2,2026,IEF-2026
MLT,ief_overall,68.2,2026,IEF-2026
WSM,ief_overall,68.0,2026,IEF-2026
MYS,ief_overall,68.0,2026,IEF-2026
ALB,ief_overall,68.0,2026,IEF-2026
SVK,ief_overall,67.7,2026,IEF-2026
BWA,ief_overall,67.7,2026,IEF-2026
HRV,ief_overall,67.5,2026,IEF-2026
LCA,ief_overall,67.5,2026,IEF-2026
BRN,ief_overall,67.5,2026,IEF-2026
ARM,ief_overall,67.1,2026,IEF-2026
ESP,ief_overall,66.8,2026,IEF-2026
SYC,ief_overall,66.5,2026,IEF-2026
PRY,ief_overall,66.4,2026,IEF-2026
PER,ief_overall,66.3,2026,IEF-2026
BHR,ief_overall,65.7,2026,IEF-2026
ROU,ief_overall,65.4,2026,IEF-2026
SAU,ief_overall,65.4,2026,IEF-2026
IDN,ief_overall,65.1,2026,IEF-2026
BHS,ief_overall,65.1,2026,IEF-2026
SRB,ief_overall,65.0,2026,IEF-2026
PAN,ief_overall,64.9,2026,IEF-2026
BLZ,ief_overall,64.7,2026,IEF-2026
FRA,ief_overall,64.6,2026,IEF-2026
VNM,ief_overall,64.4,2026,IEF-2026
AZE,ief_overall,64.3,2026,IEF-2026
KAZ,ief_overall,64.2,2026,IEF-2026
MNG,ief_overall,63.9,2026,IEF-2026
MNE,ief_overall,63.8,2026,IEF-2026
DOM,ief_overall,63.8,2026,IEF-2026
GTM,ief_overall,63.5,2026,IEF-2026
ITA,ief_overall,63.3,2026,IEF-2026
MKD,ief_overall,63.3,2026,IEF-2026
GRC,ief_overall,63.1,2026,IEF-2026
BIH,ief_overall,63.1,2026,IEF-2026
PHL,ief_overall,62.9,2026,IEF-2026
FSM,ief_overall,62.9,2026,IEF-2026
HUN,ief_overall,62.5,2026,IEF-2026
TTO,ief_overall,62.4,2026,IEF-2026
XKX,ief_overall,62.4,2026,IEF-2026
THA,ief_overall,62.2,2026,IEF-2026
MAR,ief_overall,61.8,2026,IEF-2026
VUT,ief_overall,61.1,2026,IEF-2026
STP,ief_overall,60.6,2026,IEF-2026
