iso3,indicator_id,value,year,source_id
SDN,imf_gdp_pcap_usd,787.779,2025,IMF-WEO-2025
AFG,imf_gdp_pcap_usd,448.457,2025,IMF-WEO-2025
ALB,imf_gdp_pcap_usd,11234.556,2025,IMF-WEO-2025
DZA,imf_gdp_pcap_usd,6046.876,2025,IMF-WEO-2025
AND,imf_gdp_pcap_usd,50378.881,2025,IMF-WEO-2025
AGO,imf_gdp_pcap_usd,3614.423,2025,IMF-WEO-2025
ATG,imf_gdp_pcap_usd,21675.729,2025,IMF-WEO-2025
ARG,imf_gdp_pcap_usd,14354.988,2025,IMF-WEO-2025
ARM,imf_gdp_pcap_usd,9520.965,2025,IMF-WEO-2025
ABW,imf_gdp_pcap_usd,41461.922,2025,IMF-WEO-2025
AUS,imf_gdp_pcap_usd,66351.856,2025,IMF-WEO-2025
AUT,imf_gdp_pcap_usd,63161.353,2025,IMF-WEO-2025
AZE,imf_gdp_pcap_usd,7321.685,2025,IMF-WEO-2025
BHR,imf_gdp_pcap_usd,29343.67,2025,IMF-WEO-2025
BGD,imf_gdp_pcap_usd,2635.632,2025,IMF-WEO-2025
BRB,imf_gdp_pcap_usd,27494.481,2025,IMF-WEO-2025
BLR,imf_gdp_pcap_usd,10208.724,2025,IMF-WEO-2025
BEL,imf_gdp_pcap_usd,61002.007,2025,IMF-WEO-2025
BLZ,imf_gdp_pcap_usd,7968.27,2025,IMF-WEO-2025
BEN,imf_gdp_pcap_usd,1633.921,2025,IMF-WEO-2025
BTN,imf_gdp_pcap_usd,4394.15,2025,IMF-WEO-2025
BOL,imf_gdp_pcap_usd,5106.53,2025,IMF-WEO-2025
BIH,imf_gdp_pcap_usd,9567.697,2025,IMF-WEO-2025
BWA,imf_gdp_pcap_usd,7662.303,2025,IMF-WEO-2025
BRA,imf_gdp_pcap_usd,10685.689,2025,IMF-WEO-2025
BRN,imf_gdp_pcap_usd,34678.414,2025,IMF-WEO-2025
BGR,imf_gdp_pcap_usd,20920.692,2025,IMF-WEO-2025
BFA,imf_gdp_pcap_usd,1126.369,2025,IMF-WEO-2025
BDI,imf_gdp_pcap_usd,478.15,2025,IMF-WEO-2025
CPV,imf_gdp_pcap_usd,5994.792,2025,IMF-WEO-2025
KHM,imf_gdp_pcap_usd,2761.569,2025,IMF-WEO-2025
CMR,imf_gdp_pcap_usd,1984.036,2025,IMF-WEO-2025
CAN,imf_gdp_pcap_usd,55764.707,2025,IMF-WEO-2025
CAF,imf_gdp_pcap_usd,578.96,2025,IMF-WEO-2025
TCD,imf_gdp_pcap_usd,1165.144,2025,IMF-WEO-2025
CHL,imf_gdp_pcap_usd,17734.761,2025,IMF-WEO-2025
CHN,imf_gdp_pcap_usd,13968.065,2025,IMF-WEO-2025
COL,imf_gdp_pcap_usd,8622.574,2025,IMF-WEO-2025
COM,imf_gdp_pcap_usd,1769.382,2025,IMF-WEO-2025
COD,imf_gdp_pcap_usd,871.246,2025,IMF-WEO-2025
CRI,imf_gdp_pcap_usd,19161.968,2025,IMF-WEO-2025
CIV,imf_gdp_pcap_usd,3005.85,2025,IMF-WEO-2025
HRV,imf_gdp_pcap_usd,27376.486,2025,IMF-WEO-2025
CYP,imf_gdp_pcap_usd,41730.246,2025,IMF-WEO-2025
CZE,imf_gdp_pcap_usd,35678.377,2025,IMF-WEO-2025
TLS,imf_gdp_pcap_usd,1463.949,2025,IMF-WEO-2025
DNK,imf_gdp_pcap_usd,77046.358,2025,IMF-WEO-2025
DJI,imf_gdp_pcap_usd,4145.347,2025,IMF-WEO-2025
DMA,imf_gdp_pcap_usd,9894.53,2025,IMF-WEO-2025
DOM,imf_gdp_pcap_usd,11749.205,2025,IMF-WEO-2025
ECU,imf_gdp_pcap_usd,7198.575,2025,IMF-WEO-2025
EGY,imf_gdp_pcap_usd,3379.429,2025,IMF-WEO-2025
SLV,imf_gdp_pcap_usd,5839.018,2025,IMF-WEO-2025
GNQ,imf_gdp_pcap_usd,7627.642,2025,IMF-WEO-2025
EST,imf_gdp_pcap_usd,34325.319,2025,IMF-WEO-2025
SWZ,imf_gdp_pcap_usd,4442.323,2025,IMF-WEO-2025
ETH,imf_gdp_pcap_usd,986.516,2025,IMF-WEO-2025
FJI,imf_gdp_pcap_usd,6508.02,2025,IMF-WEO-2025
FIN,imf_gdp_pcap_usd,56464.358,2025,IMF-WEO-2025
FRA,imf_gdp_pcap_usd,48929.949,2025,IMF-WEO-2025
GAB,imf_gdp_pcap_usd,9376.425,2025,IMF-WEO-2025
GEO,imf_gdp_pcap_usd,10346.094,2025,IMF-WEO-2025
DEU,imf_gdp_pcap_usd,60438.79,2025,IMF-WEO-2025
GHA,imf_gdp_pcap_usd,3271.351,2025,IMF-WEO-2025
GRC,imf_gdp_pcap_usd,27040.815,2025,IMF-WEO-2025
GRD,imf_gdp_pcap_usd,12210.274,2025,IMF-WEO-2025
GTM,imf_gdp_pcap_usd,6489.088,2025,IMF-WEO-2025
GIN,imf_gdp_pcap_usd,1722.17,2025,IMF-WEO-2025
