iso3,indicator_id,value,year,source_id
BMU,numbeo_col_index,135.8,2026,NUMBEO
CYM,numbeo_col_index,115.6,2026,NUMBEO
CHE,numbeo_col_index,110.7,2026,NUMBEO
SLB,numbeo_col_index,102.3,2026,NUMBEO
BHS,numbeo_col_index,98.8,2026,NUMBEO
ISL,numbeo_col_index,97.2,2026,NUMBEO
JEY,numbeo_col_index,88.7,2026,NUMBEO
SGP,numbeo_col_index,87.7,2026,NUMBEO
NOR,numbeo_col_index,83.7,2026,NUMBEO
ISR,numbeo_col_index,79.7,2026,NUMBEO
DNK,numbeo_col_index,78.9,2026,NUMBEO
LUX,numbeo_col_index,78.0,2026,NUMBEO
GRD,numbeo_col_index,76.4,2026,NUMBEO
HKG,numbeo_col_index,75.2,2026,NUMBEO
IMN,numbeo_col_index,74.7,2026,NUMBEO
GGY,numbeo_col_index,73.4,2026,NUMBEO
NLD,numbeo_col_index,73.4,2026,NUMBEO
AUT,numbeo_col_index,71.3,2026,NUMBEO
IRL,numbeo_col_index,70.6,2026,NUMBEO
FIN,numbeo_col_index,69.0,2026,NUMBEO
USA,numbeo_col_index,68.8,2026,NUMBEO
DEU,numbeo_col_index,68.7,2026,NUMBEO
BEL,numbeo_col_index,68.6,2026,NUMBEO
SWE,numbeo_col_index,68.0,2026,NUMBEO
AUS,numbeo_col_index,67.9,2026,NUMBEO
GBR,numbeo_col_index,67.8,2026,NUMBEO
FRA,numbeo_col_index,67.7,2026,NUMBEO
SYC,numbeo_col_index,64.5,2026,NUMBEO
CAN,numbeo_col_index,63.0,2026,NUMBEO
PRI,numbeo_col_index,62.6,2026,NUMBEO
KOR,numbeo_col_index,61.6,2026,NUMBEO
ITA,numbeo_col_index,61.4,2026,NUMBEO
MAC,numbeo_col_index,60.5,2026,NUMBEO
NZL,numbeo_col_index,60.3,2026,NUMBEO
EST,numbeo_col_index,59.7,2026,NUMBEO
CYP,numbeo_col_index,58.8,2026,NUMBEO
MLT,numbeo_col_index,56.8,2026,NUMBEO
URY,numbeo_col_index,55.6,2026,NUMBEO
ARE,numbeo_col_index,55.2,2026,NUMBEO
AND,numbeo_col_index,55.1,2026,NUMBEO
JAM,numbeo_col_index,54.5,2026,NUMBEO
SVN,numbeo_col_index,54.1,2026,NUMBEO
GRC,numbeo_col_index,54.0,2026,NUMBEO
YEM,numbeo_col_index,53.1,2026,NUMBEO
CZE,numbeo_col_index,53.0,2026,NUMBEO
CRI,numbeo_col_index,52.9,2026,NUMBEO
HRV,numbeo_col_index,52.4,2026,NUMBEO
LVA,numbeo_col_index,52.3,2026,NUMBEO
TTO,numbeo_col_index,52.0,2026,NUMBEO
ESP,numbeo_col_index,51.6,2026,NUMBEO
LTU,numbeo_col_index,51.2,2026,NUMBEO
GUY,numbeo_col_index,50.4,2026,NUMBEO
QAT,numbeo_col_index,50.4,2026,NUMBEO
COD,numbeo_col_index,50.2,2026,NUMBEO
TWN,numbeo_col_index,49.7,2026,NUMBEO
SVK,numbeo_col_index,49.6,2026,NUMBEO
MDV,numbeo_col_index,48.9,2026,NUMBEO
PRT,numbeo_col_index,48.8,2026,NUMBEO
SEN,numbeo_col_index,48.5,2026,NUMBEO
BRN,numbeo_col_index,48.2,2026,NUMBEO
PSE,numbeo_col_index,48.1,2026,NUMBEO
BHR,numbeo_col_index,47.6,2026,NUMBEO
PNG,numbeo_col_index,47.5,2026,NUMBEO
JPN,numbeo_col_index,47.5,2026,NUMBEO
POL,numbeo_col_index,47.3,2026,NUMBEO
HUN,numbeo_col_index,46.9,2026,NUMBEO
BLZ,numbeo_col_index,46.9,2026,NUMBEO
CPV,numbeo_col_index,46.3,2026,NUMBEO
ALB,numbeo_col_index,45.8,2026,NUMBEO
PAN,numbeo_col_index,45.5,2026,NUMBEO
CIV,numbeo_col_index,44.8,2026,NUMBEO
SAU,numbeo_col_index,43.9,2026,NUMBEO
OMN,numbeo_col_index,43.6,2026,NUMBEO
MNE,numbeo_col_index,42.7,2026,NUMBEO
SRB,numbeo_col_index,42.6,2026,NUMBEO
MEX,numbeo_col_index,42.6,2026,NUMBEO
KWT,numbeo_col_index,42.5,2026,NUMBEO
AGO,numbeo_col_index,42.3,2026,NUMBEO
SUR,numbeo_col_index,42.3,2026,NUMBEO
CUB,numbeo_col_index,41.8,2026,NUMBEO
ETH,numbeo_col_index,41.8,2026,NUMBEO
LBN,numbeo_col_index,41.7,2026,NUMBEO
BGR,numbeo_col_index,41.6,2026,NUMBEO
ARG,numbeo_col_index,41.3,2026,NUMBEO
ARM,numbeo_col_index,40.9,2026,NUMBEO
CMR,numbeo_col_index,40.7,2026,NUMBEO
ROU,numbeo_col_index,40.6,2026,NUMBEO
GTM,numbeo_col_index,40.4,2026,NUMBEO
SLV,numbeo_col_index,39.6,2026,NUMBEO
JOR,numbeo_col_index,39.4,2026,NUMBEO
TUR,numbeo_col_index,39.2,2026,NUMBEO
CHL,numbeo_col_index,39.0,2026,NUMBEO
BIH,numbeo_col_index,38.7,2026,NUMBEO
MUS,numbeo_col_index,38.3,2026,NUMBEO
DOM,numbeo_col_index,38.2,2026,NUMBEO
THA,numbeo_col_index,38.0,2026,NUMBEO
MMR,numbeo_col_index,38.0,2026,NUMBEO
VEN,numbeo_col_index,37.7,2026,NUMBEO
ZAF,numbeo_col_index,37.1,2026,NUMBEO
MOZ,numbeo_col_index,36.9,2026,NUMBEO
HND,numbeo_col_index,36.6,2026,NUMBEO
RUS,numbeo_col_index,36.5,2026,NUMBEO
NAM,numbeo_col_index,36.3,2026,NUMBEO
ZWE,numbeo_col_index,35.9,2026,NUMBEO
MDA,numbeo_col_index,35.8,2026,NUMBEO
MKD,numbeo_col_index,35.5,2026,NUMBEO
KHM,numbeo_col_index,34.8,2026,NUMBEO
FJI,numbeo_col_index,34.3,2026,NUMBEO
NIC,numbeo_col_index,34.2,2026,NUMBEO
MYS,numbeo_col_index,34.0,2026,NUMBEO
GHA,numbeo_col_index,33.9,2026,NUMBEO
LKA,numbeo_col_index,33.9,2026,NUMBEO
PER,numbeo_col_index,33.5,2026,NUMBEO
GEO,numbeo_col_index,33.1,2026,NUMBEO
BWA,numbeo_col_index,32.6,2026,NUMBEO
COL,numbeo_col_index,31.7,2026,NUMBEO
MAR,numbeo_col_index,31.4,2026,NUMBEO
MNG,numbeo_col_index,31.4,2026,NUMBEO
ECU,numbeo_col_index,30.9,2026,NUMBEO
AZE,numbeo_col_index,30.7,2026,NUMBEO
BLR,numbeo_col_index,30.5,2026,NUMBEO
CHN,numbeo_col_index,30.5,2026,NUMBEO
BRA,numbeo_col_index,30.1,2026,NUMBEO
PHL,numbeo_col_index,30.1,2026,NUMBEO
ZMB,numbeo_col_index,29.9,2026,NUMBEO
KAZ,numbeo_col_index,29.8,2026,NUMBEO
XKX,numbeo_col_index,29.1,2026,NUMBEO
TUN,numbeo_col_index,29.1,2026,NUMBEO
KEN,numbeo_col_index,28.9,2026,NUMBEO
PRY,numbeo_col_index,28.5,2026,NUMBEO
IRQ,numbeo_col_index,28.4,2026,NUMBEO
UKR,numbeo_col_index,28.2,2026,NUMBEO
DZA,numbeo_col_index,28.0,2026,NUMBEO
TJK,numbeo_col_index,27.9,2026,NUMBEO
NGA,numbeo_col_index,27.7,2026,NUMBEO
UZB,numbeo_col_index,27.3,2026,NUMBEO
BOL,numbeo_col_index,27.3,2026,NUMBEO
KGZ,numbeo_col_index,27.3,2026,NUMBEO
UGA,numbeo_col_index,27.0,2026,NUMBEO
TZA,numbeo_col_index,26.6,2026,NUMBEO
VNM,numbeo_col_index,26.4,2026,NUMBEO
IDN,numbeo_col_index,26.1,2026,NUMBEO
SYR,numbeo_col_index,25.0,2026,NUMBEO
RWA,numbeo_col_index,25.0,2026,NUMBEO
IRN,numbeo_col_index,22.8,2026,NUMBEO
BGD,numbeo_col_index,22.8,2026,NUMBEO
NPL,numbeo_col_index,22.6,2026,NUMBEO
MDG,numbeo_col_index,22.5,2026,NUMBEO
EGY,numbeo_col_index,21.6,2026,NUMBEO
AFG,numbeo_col_index,21.1,2026,NUMBEO
PAK,numbeo_col_index,19.6,2026,NUMBEO
IND,numbeo_col_index,18.9,2026,NUMBEO
LBY,numbeo_col_index,18.3,2026,NUMBEO
BMU,numbeo_lpp_index,101.3,2026,NUMBEO
CYM,numbeo_lpp_index,149.6,2026,NUMBEO
CHE,numbeo_lpp_index,170.6,2026,NUMBEO
SLB,numbeo_lpp_index,12.6,2026,NUMBEO
BHS,numbeo_lpp_index,57.1,2026,NUMBEO
ISL,numbeo_lpp_index,113.7,2026,NUMBEO
JEY,numbeo_lpp_index,103.4,2026,NUMBEO
SGP,numbeo_lpp_index,105.5,2026,NUMBEO
NOR,numbeo_lpp_index,124.7,2026,NUMBEO
ISR,numbeo_lpp_index,119.6,2026,NUMBEO
DNK,numbeo_lpp_index,146.6,2026,NUMBEO
LUX,numbeo_lpp_index,160.5,2026,NUMBEO
GRD,numbeo_lpp_index,34.6,2026,NUMBEO
HKG,numbeo_lpp_index,91.6,2026,NUMBEO
IMN,numbeo_lpp_index,116.6,2026,NUMBEO
GGY,numbeo_lpp_index,132.8,2026,NUMBEO
NLD,numbeo_lpp_index,131.9,2026,NUMBEO
AUT,numbeo_lpp_index,120.0,2026,NUMBEO
IRL,numbeo_lpp_index,114.4,2026,NUMBEO
FIN,numbeo_lpp_index,129.4,2026,NUMBEO
USA,numbeo_lpp_index,146.0,2026,NUMBEO
DEU,numbeo_lpp_index,138.3,2026,NUMBEO
BEL,numbeo_lpp_index,124.2,2026,NUMBEO
SWE,numbeo_lpp_index,133.5,2026,NUMBEO
AUS,numbeo_lpp_index,137.3,2026,NUMBEO
GBR,numbeo_lpp_index,122.6,2026,NUMBEO
FRA,numbeo_lpp_index,118.5,2026,NUMBEO
SYC,numbeo_lpp_index,34.3,2026,NUMBEO
CAN,numbeo_lpp_index,119.4,2026,NUMBEO
PRI,numbeo_lpp_index,115.9,2026,NUMBEO
KOR,numbeo_lpp_index,111.5,2026,NUMBEO
ITA,numbeo_lpp_index,89.2,2026,NUMBEO
MAC,numbeo_lpp_index,85.4,2026,NUMBEO
NZL,numbeo_lpp_index,123.8,2026,NUMBEO
EST,numbeo_lpp_index,88.3,2026,NUMBEO
CYP,numbeo_lpp_index,87.7,2026,NUMBEO
MLT,numbeo_lpp_index,81.1,2026,NUMBEO
URY,numbeo_lpp_index,55.1,2026,NUMBEO
ARE,numbeo_lpp_index,126.4,2026,NUMBEO
AND,numbeo_lpp_index,126.1,2026,NUMBEO
JAM,numbeo_lpp_index,35.4,2026,NUMBEO
SVN,numbeo_lpp_index,87.5,2026,NUMBEO
GRC,numbeo_lpp_index,64.1,2026,NUMBEO
YEM,numbeo_lpp_index,18.2,2026,NUMBEO
CZE,numbeo_lpp_index,91.4,2026,NUMBEO
CRI,numbeo_lpp_index,49.5,2026,NUMBEO
HRV,numbeo_lpp_index,86.5,2026,NUMBEO
LVA,numbeo_lpp_index,77.7,2026,NUMBEO
TTO,numbeo_lpp_index,48.6,2026,NUMBEO
ESP,numbeo_lpp_index,104.4,2026,NUMBEO
LTU,numbeo_lpp_index,87.6,2026,NUMBEO
GUY,numbeo_lpp_index,52.1,2026,NUMBEO
QAT,numbeo_lpp_index,153.1,2026,NUMBEO
COD,numbeo_lpp_index,26.3,2026,NUMBEO
TWN,numbeo_lpp_index,98.9,2026,NUMBEO
SVK,numbeo_lpp_index,78.1,2026,NUMBEO
MDV,numbeo_lpp_index,46.2,2026,NUMBEO
PRT,numbeo_lpp_index,66.4,2026,NUMBEO
SEN,numbeo_lpp_index,22.2,2026,NUMBEO
BRN,numbeo_lpp_index,134.4,2026,NUMBEO
PSE,numbeo_lpp_index,49.0,2026,NUMBEO
BHR,numbeo_lpp_index,119.3,2026,NUMBEO
PNG,numbeo_lpp_index,20.2,2026,NUMBEO
