iso3,indicator_id,value,year,source_id
ALB,wb_gni_pcap_ppp,26500.0,2024,WB-PPP
DZA,wb_gni_pcap_ppp,17290.0,2024,WB-PPP
AND,wb_gni_pcap_ppp,76090.0,2024,WB-PPP
AGO,wb_gni_pcap_ppp,9460.0,2024,WB-PPP
ATG,wb_gni_pcap_ppp,31730.0,2024,WB-PPP
ARG,wb_gni_pcap_ppp,29800.0,2024,WB-PPP
ARM,wb_gni_pcap_ppp,22020.0,2024,WB-PPP
ABW,wb_gni_pcap_ppp,47960.0,2024,WB-PPP
AUS,wb_gni_pcap_ppp,69600.0,2024,WB-PPP
AUT,wb_gni_pcap_ppp,74160.0,2024,WB-PPP
AZE,wb_gni_pcap_ppp,24220.0,2024,WB-PPP
BHS,wb_gni_pcap_ppp,39550.0,2024,WB-PPP
BHR,wb_gni_pcap_ppp,62230.0,2024,WB-PPP
BGD,wb_gni_pcap_ppp,10060.0,2024,WB-PPP
BRB,wb_gni_pcap_ppp,23850.0,2024,WB-PPP
BLR,wb_gni_pcap_ppp,32300.0,2024,WB-PPP
BEL,wb_gni_pcap_ppp,74770.0,2024,WB-PPP
BLZ,wb_gni_pcap_ppp,13760.0,2024,WB-PPP
BEN,wb_gni_pcap_ppp,4390.0,2024,WB-PPP
BMU,wb_gni_pcap_ppp,129110.0,2024,WB-PPP
BOL,wb_gni_pcap_ppp,12620.0,2024,WB-PPP
BIH,wb_gni_pcap_ppp,24990.0,2024,WB-PPP
BWA,wb_gni_pcap_ppp,20570.0,2024,WB-PPP
BRA,wb_gni_pcap_ppp,21590.0,2024,WB-PPP
BRN,wb_gni_pcap_ppp,92750.0,2024,WB-PPP
BGR,wb_gni_pcap_ppp,39850.0,2024,WB-PPP
BFA,wb_gni_pcap_ppp,2720.0,2024,WB-PPP
BDI,wb_gni_pcap_ppp,1200.0,2024,WB-PPP
CPV,wb_gni_pcap_ppp,11000.0,2024,WB-PPP
KHM,wb_gni_pcap_ppp,7910.0,2024,WB-PPP
CMR,wb_gni_pcap_ppp,5490.0,2024,WB-PPP
CAN,wb_gni_pcap_ppp,63630.0,2024,WB-PPP
CAF,wb_gni_pcap_ppp,1340.0,2024,WB-PPP
TCD,wb_gni_pcap_ppp,2710.0,2024,WB-PPP
CHL,wb_gni_pcap_ppp,34320.0,2024,WB-PPP
CHN,wb_gni_pcap_ppp,26920.0,2024,WB-PPP
COL,wb_gni_pcap_ppp,21890.0,2024,WB-PPP
COM,wb_gni_pcap_ppp,3980.0,2024,WB-PPP
COD,wb_gni_pcap_ppp,1760.0,2024,WB-PPP
COG,wb_gni_pcap_ppp,6340.0,2024,WB-PPP
CRI,wb_gni_pcap_ppp,28840.0,2024,WB-PPP
CIV,wb_gni_pcap_ppp,7360.0,2024,WB-PPP
HRV,wb_gni_pcap_ppp,49740.0,2024,WB-PPP
CUW,wb_gni_pcap_ppp,33300.0,2024,WB-PPP
CYP,wb_gni_pcap_ppp,56200.0,2024,WB-PPP
