iso3,indicator_id,value,year,source_id
JEY,wgi_va,1.4046947,2024,WB-WGI
AFG,wgi_va,-2.1483748,2024,WB-WGI
ALB,wgi_va,-0.0124167999999999,2024,WB-WGI
DZA,wgi_va,-1.0484061,2024,WB-WGI
ASM,wgi_va,0.9305775,2024,WB-WGI
AND,wgi_va,0.7892366,2024,WB-WGI
AGO,wgi_va,-1.0588932,2024,WB-WGI
ATG,wgi_va,0.5117735,2024,WB-WGI
ARG,wgi_va,0.385552,2024,WB-WGI
ARM,wgi_va,0.1201848,2024,WB-WGI
ABW,wgi_va,0.9576687,2024,WB-WGI
AUS,wgi_va,1.5123302,2024,WB-WGI
AUT,wgi_va,1.4054571,2024,WB-WGI
AZE,wgi_va,-1.5042391,2024,WB-WGI
BHS,wgi_va,0.5530661,2024,WB-WGI
BHR,wgi_va,-1.3214713,2024,WB-WGI
BGD,wgi_va,-1.1608036,2024,WB-WGI
BRB,wgi_va,0.99396,2024,WB-WGI
BLR,wgi_va,-1.6904177,2024,WB-WGI
BEL,wgi_va,1.4972136,2024,WB-WGI
BLZ,wgi_va,0.1039608,2024,WB-WGI
BEN,wgi_va,-0.380475299999999,2024,WB-WGI
BTN,wgi_va,0.4010656,2024,WB-WGI
BOL,wgi_va,-0.4397641,2024,WB-WGI
BIH,wgi_va,-0.3952516,2024,WB-WGI
BWA,wgi_va,0.295265,2024,WB-WGI
BRA,wgi_va,0.3164771,2024,WB-WGI
BRN,wgi_va,-0.7999315,2024,WB-WGI
BGR,wgi_va,0.2133864,2024,WB-WGI
BFA,wgi_va,-0.964477599999999,2024,WB-WGI
BDI,wgi_va,-1.4920981,2024,WB-WGI
CPV,wgi_va,0.7910795,2024,WB-WGI
KHM,wgi_va,-1.67065629999999,2024,WB-WGI
CMR,wgi_va,-1.2417667,2024,WB-WGI
CAN,wgi_va,1.5036042,2024,WB-WGI
CYM,wgi_va,0.9576687,2024,WB-WGI
CAF,wgi_va,-1.311266,2024,WB-WGI
TCD,wgi_va,-1.5187583,2024,WB-WGI
CHL,wgi_va,0.994188,2024,WB-WGI
CHN,wgi_va,-1.6531931,2024,WB-WGI
COL,wgi_va,0.034564,2024,WB-WGI
COM,wgi_va,-1.2379665,2024,WB-WGI
COD,wgi_va,-1.213613,2024,WB-WGI
COG,wgi_va,-1.31478079999999,2024,WB-WGI
CRI,wgi_va,1.0114744,2024,WB-WGI
CIV,wgi_va,-0.6166747,2024,WB-WGI
HRV,wgi_va,0.6486643,2024,WB-WGI
CUB,wgi_va,-1.26857129999999,2024,WB-WGI
CYP,wgi_va,0.8873328,2024,WB-WGI
CZE,wgi_va,1.2546961,2024,WB-WGI
DNK,wgi_va,1.8949405,2024,WB-WGI
DJI,wgi_va,-1.2450001,2024,WB-WGI
DMA,wgi_va,0.379823,2024,WB-WGI
DOM,wgi_va,0.2011502,2024,WB-WGI
ECU,wgi_va,-0.1051406,2024,WB-WGI
EGY,wgi_va,-1.6006344,2024,WB-WGI
SLV,wgi_va,-0.7884205,2024,WB-WGI
GNQ,wgi_va,-1.7254261,2024,WB-WGI
ERI,wgi_va,-2.28978119999999,2024,WB-WGI
EST,wgi_va,1.4144994,2024,WB-WGI
SWZ,wgi_va,-1.3474097,2024,WB-WGI
ETH,wgi_va,-1.2423966,2024,WB-WGI
FJI,wgi_va,0.33163,2024,WB-WGI
FIN,wgi_va,1.8535581,2024,WB-WGI
FRA,wgi_va,1.1486677,2024,WB-WGI
