iso3,indicator_id,value,year,source_id
FIN,whr_score,7.736,2025,WHR-2025
DNK,whr_score,7.521,2025,WHR-2025
ISL,whr_score,7.515,2025,WHR-2025
SWE,whr_score,7.345,2025,WHR-2025
NLD,whr_score,7.306,2025,WHR-2025
CRI,whr_score,7.274,2025,WHR-2025
NOR,whr_score,7.262,2025,WHR-2025
ISR,whr_score,7.234,2025,WHR-2025
LUX,whr_score,7.122,2025,WHR-2025
MEX,whr_score,6.979,2025,WHR-2025
AUS,whr_score,6.974,2025,WHR-2025
NZL,whr_score,6.952,2025,WHR-2025
CHE,whr_score,6.935,2025,WHR-2025
BEL,whr_score,6.91,2025,WHR-2025
IRL,whr_score,6.889,2025,WHR-2025
LTU,whr_score,6.829,2025,WHR-2025
AUT,whr_score,6.81,2025,WHR-2025
CAN,whr_score,6.803,2025,WHR-2025
SVN,whr_score,6.792,2025,WHR-2025
CZE,whr_score,6.775,2025,WHR-2025
ARE,whr_score,6.759,2025,WHR-2025
DEU,whr_score,6.753,2025,WHR-2025
GBR,whr_score,6.728,2025,WHR-2025
USA,whr_score,6.724,2025,WHR-2025
BLZ,whr_score,6.711,2025,WHR-2025
POL,whr_score,6.673,2025,WHR-2025
TWN,whr_score,6.669,2025,WHR-2025
URY,whr_score,6.661,2025,WHR-2025
XKX,whr_score,6.659,2025,WHR-2025
KWT,whr_score,6.629,2025,WHR-2025
SRB,whr_score,6.606,2025,WHR-2025
SAU,whr_score,6.6,2025,WHR-2025
FRA,whr_score,6.593,2025,WHR-2025
SGP,whr_score,6.565,2025,WHR-2025
ROU,whr_score,6.563,2025,WHR-2025
BRA,whr_score,6.494,2025,WHR-2025
SLV,whr_score,6.492,2025,WHR-2025
ESP,whr_score,6.466,2025,WHR-2025
EST,whr_score,6.417,2025,WHR-2025
ITA,whr_score,6.415,2025,WHR-2025
PAN,whr_score,6.407,2025,WHR-2025
ARG,whr_score,6.397,2025,WHR-2025
KAZ,whr_score,6.378,2025,WHR-2025
GTM,whr_score,6.362,2025,WHR-2025
CHL,whr_score,6.361,2025,WHR-2025
VNM,whr_score,6.352,2025,WHR-2025
NIC,whr_score,6.33,2025,WHR-2025
MLT,whr_score,6.316,2025,WHR-2025
THA,whr_score,6.222,2025,WHR-2025
SVK,whr_score,6.221,2025,WHR-2025
LVA,whr_score,6.207,2025,WHR-2025
OMN,whr_score,6.197,2025,WHR-2025
UZB,whr_score,6.193,2025,WHR-2025
PRY,whr_score,6.172,2025,WHR-2025
JPN,whr_score,6.147,2025,WHR-2025
BIH,whr_score,6.136,2025,WHR-2025
PHL,whr_score,6.107,2025,WHR-2025
KOR,whr_score,6.038,2025,WHR-2025
BHR,whr_score,6.03,2025,WHR-2025
PRT,whr_score,6.013,2025,WHR-2025
COL,whr_score,6.004,2025,WHR-2025
ECU,whr_score,5.965,2025,WHR-2025
HND,whr_score,5.964,2025,WHR-2025
MYS,whr_score,5.955,2025,WHR-2025
PER,whr_score,5.947,2025,WHR-2025
RUS,whr_score,5.945,2025,WHR-2025
CYP,whr_score,5.942,2025,WHR-2025
CHN,whr_score,5.921,2025,WHR-2025
HUN,whr_score,5.915,2025,WHR-2025
TTO,whr_score,5.905,2025,WHR-2025
MNE,whr_score,5.877,2025,WHR-2025
HRV,whr_score,5.87,2025,WHR-2025
JAM,whr_score,5.87,2025,WHR-2025
BOL,whr_score,5.868,2025,WHR-2025
KGZ,whr_score,5.858,2025,WHR-2025
DOM,whr_score,5.846,2025,WHR-2025
MNG,whr_score,5.833,2025,WHR-2025
MUS,whr_score,5.832,2025,WHR-2025
LBY,whr_score,5.82,2025,WHR-2025
MDA,whr_score,5.819,2025,WHR-2025
GRC,whr_score,5.776,2025,WHR-2025
VEN,whr_score,5.683,2025,WHR-2025
